apartment_code,room_code,bed_type,capacity,occupied_beds,available_beds,available_bed_codes,current_occupancy_pct,current_revenue,current_rent,recent_occupancy_pct,recent_revenue,recent_vacancy_events,recent_refills,recent_fill_rate,average_vacancy_days_recent,historical_occupancy_pct,historical_revenue,occupant_states,occupant_genders,occupant_occupations,occupant_ages,gender_allowed,bed_status,bed_lifecycle_status,toilet_type,current_rate,bed_codes,lifecycle_status,demand_score
B11,B11-A,Single,1,1,0,,100.0,19500.0,19500.0,92.92,341507.88,2,2,1.0,20.5,95.8,776028.25,,male,student,28.5,Male,Active,occupied,Common,19500.0,A1,Active,80.05
B11,B11-B,Double,2,2,0,,100.0,30000.0,15500.0,100.0,546205.65,4,4,1.0,5.8,97.9,1171402.76,Tamil Nadu,male; male,student; student,31.2; 31.0,Male,Active,occupied,Attached,15500.0,B1; B2,Active,91.91
B11,B11-C,Double,2,1,1,C1,50.0,13500.0,14500.0,97.24,480338.37,4,3,0.75,19.7,92.63,1033820.63,,male,student,51.1,Male,Active,occupied,Common,14500.0,C1; C2,Active,79.95
B11,B11-D,Single,1,1,0,,100.0,25500.0,25500.0,100.0,496616.29,3,3,1.0,0.3,100.0,1064290.41,,male,student,33.9,Male,Active,occupied,Attached,25500.0,D1,Active,91.32
B12,B12-A,Single,1,1,0,,100.0,19500.0,19500.0,100.0,357900.79,2,2,1.0,12.0,99.77,754993.43,Karnataka,female,student,26.0,Female,Active,occupied,Common,19500.0,A1,Active,84.53
B12,B12-B,Double,2,2,0,,100.0,13600.0,15500.0,98.79,522582.13,1,1,1.0,14.0,94.69,1129448.09,Kerala,female; female,student; student,18.0,Female,Active,occupied,Attached,15500.0,B1; B2,Active,89.18
B12,B12-C,Double,2,2,0,,100.0,27100.0,14500.0,81.69,409950.72,3,3,1.0,56.3,91.76,1019697.77,,female; female,student; student,23.0,Female,Active,occupied,Common,14500.0,C1; C2,Active,71.84
B13,B13-A,Single,1,1,0,,100.0,19000.0,19500.0,100.0,361399.47,0,0,,,100.0,668239.16,,male,student,,Male,Active,occupied,Common,19500.0,A1,Active,61.92
B13,B13-B,Double,2,2,0,,100.0,30000.0,15500.0,93.26,521649.15,6,5,0.833,18.8,90.46,997660.97,Tamil Nadu,male; male,student; student,28.0,Male,Active,occupied,Attached,15500.0,B1; B2,Active,82.25
B13,B13-C,Double,2,2,0,,100.0,27000.0,14500.0,100.0,525098.55,2,1,0.5,5.0,99.01,1117874.51,,male; male,student; student,27.0,Male,Active,occupied,Common,14500.0,C1; C2,Active,78.87
B14,B14-A,Single,1,1,0,,100.0,19500.0,19500.0,91.71,338370.57,4,4,1.0,15.0,80.76,661034.82,,male,student,46.2,Male,Active,occupied,Common,19500.0,A1,Active,80.59
B14,B14-B,Double,2,2,0,,100.0,0.0,15500.0,100.0,0.0,0,0,,,100.0,0.0,,male; male,student; student,,Male,Active,occupied,Attached,15500.0,B1; B2,Active,50.0
B14,B14-C,Double,2,2,0,,100.0,28000.0,14500.0,95.16,499178.71,2,2,1.0,12.5,94.5,1078827.2,,male; male,student; student,,Male,Active,occupied,Common,14500.0,C1; C2,Active,87.5
B22,B22-A,Single,1,1,0,,100.0,19000.0,19500.0,88.6,320203.68,1,1,1.0,5.0,91.42,618252.3,,female,student,24.2,Female,Active,occupied,Common,19500.0,A1,Active,80.87
B22,B22-B,Double,2,2,0,,100.0,30000.0,15500.0,100.0,571994.09,5,5,1.0,3.6,94.32,987473.72,,female; female,student; student,30.0; 22.8,Female,Active,occupied,Attached,15500.0,B1; B2,Active,93.18
B22,B22-C,Double,2,2,0,,100.0,28000.0,14500.0,97.15,512007.23,3,3,1.0,11.0,96.23,932145.2,,female; female,student; student,30.2; 23.1,Female,Active,occupied,Common,14500.0,C1; C2,Active,88.86
B24,B24-A,Single,1,1,0,,100.0,19500.0,19500.0,55.61,206274.64,2,2,1.0,41.0,63.11,469609.07,,female,student,22.0,Female,Active,occupied,Common,19500.0,A1,Active,59.45
B24,B24-B,Triple,3,3,0,,100.0,40500.0,13500.0,87.28,660742.44,10,10,1.0,23.3,76.23,1248111.04,Tamil Nadu,female; female; female,student; student; student,22.8; 23.8; 24.0,Female,Active,occupied,Attached,13500.0,B1; B2; B3,Active,88.2
B24,B24-C,Double,2,1,1,C2,50.0,14500.0,14500.0,89.03,474572.93,7,6,0.857,23.0,92.56,947575.56,,female,student,21.6,Female,Active,occupied/vacant,Common,14500.0,C1; C2,Active,79.11
B31,B31-B,Double,2,2,0,,100.0,29000.0,15500.0,99.91,551133.38,1,1,1.0,1.0,99.92,620680.03,,male; male,student; student,23.8; 57.8,Male,Active,occupied,Attached,15500.0,B1; B2,Active,92.96
B31,B31-C,Double,2,2,0,,100.0,31000.0,15500.0,92.57,535446.78,4,4,1.0,15.0,90.95,589750.33,,male; male,student; student,55.2; 43.0,Male,Active,occupied,Attached,15500.0,C1; C2,Active,87.37
B32,B32-A,Single,1,1,0,,100.0,19500.0,19500.0,93.26,171682.0,1,1,1.0,39.0,97.02,171682.0,,male,student,28.7,Male,Active,occupied,Common,19500.0,A1,Active,71.06
B32,B32-B,Double,2,2,0,,100.0,29000.0,15500.0,99.4,548275.3,1,1,1.0,7.0,96.22,1118610.38,,male; male,student; student,42.2,Male,Active,occupied,Attached,15500.0,B1; B2,Active,91.56
