ticket_id,ticket_number,asset_id,asset_id_source,asset_code,issue_type,current_repair_date,current_resolution_hours,mapping_confidence,verification_decision,asset_historical_baseline_hours,baseline_source,baseline_confidence,baseline_history_type,baseline_sample_size,faster_percentage,recent_repeat_count_90d,days_since_previous_repair,explanation,baseline_method,baseline_version,evaluated_at
b529d44c-b728-aa47-0506-a4f4c85bfff1,VISH-26-03-0230,,,,Other,2026-03-13 09:53:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
9e288426-3f88-8f59-6175-0669bba6e4cf,VISH-26-03-0231,,,,Other,2026-03-13 09:54:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
e850b127-0860-cf3a-f986-b59dcb42fb37,VISH-25-03-0232,,,,AC Issues,2025-03-02 11:24:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
c3dcca55-b6b6-d12c-4b0c-e07a1ccdd1ef,VISH-25-03-0233,,,,RO Water Issues,2025-03-14 16:10:00.000,,Medium,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
788837e8-e58b-c0e7-3452-69b046dea975,VISH-25-08-0234,,,,Other,2025-08-11 09:13:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
92f2ed4a-b852-4e6b-4bb3-497b0a50ef0d,VISH-25-08-0235,,,,Electrical Issues,2025-08-11 20:37:00.000,,Medium,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
5da92ddf-bf0f-b6b3-1723-91cc27df4de4,VISH-25-09-0236,,,,Electrical Issues,2025-09-18 17:47:00.000,,Medium,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
83cb1e0e-e87b-ef82-d677-edb30f541e33,VISH-25-09-0237,,,,RO Water Issues,2025-09-18 23:19:00.000,,Medium,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
75ff20a3-da1c-37f4-53e2-60d3fcaacc1a,VISH-25-09-0238,,,,Other,2025-09-25 17:21:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
cca7e70a-48a3-002d-0e3f-d90608447fd9,VISH-25-09-0239,,,,AC Issues,2025-09-26 09:35:00.000,,Low,Normal,,,,,0,,0,,No recorded resolution time; ticket not evaluated.,median,,2026-08-06T14:42:36
