entity_id,risk_score,risk_level,anomaly_score,flags,explanation
ac72e508-b892-459e-8fa3-0ed87a7ab484,75.3,Critical,0.959,fast_resolution,Resolved in 3.7h vs 88.4h typical for Fridge Issues
2132b30e-45a1-4021-801e-c0772c7fcc4d,75.2,Critical,0.958,fast_resolution,Resolved in 4.3h vs 48.4h typical for Other
4dc2e07a-34a8-484e-af81-8347df1d0aef,75.1,Critical,0.957,fast_resolution,Resolved in 5.1h vs 40.9h typical for Furniture
93875bf1-b143-40b3-b27a-84bb5f57ef44,75.1,Critical,0.956,fast_resolution,Resolved in 7.2h vs 59.1h typical for Cleaning Issues
d92a4b99-dbe6-4eed-81d5-fa375a71c0f8,74.7,High,0.949,fast_resolution,Resolved in 7.2h vs 48.4h typical for Other
b88e51a5-f3cb-4174-bcae-781487f61548,74.1,High,0.862,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 3.4h vs 51.8h typical for AC Issues
8709bba9-ca03-4034-9bc8-85f2f2143034,74.1,High,0.963,repeated_issue;cost_over_expected,Repeated issue at this location | Cost ₹5500.0 exceeds expected ₹650 (+₹4850)
eed88ead-3973-4643-8814-412fdd2ad9be,73.2,High,0.718,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 12.6h vs 51.8h typical for AC Issues
f0affaee-a05c-4cd9-97b6-f6b895f55ad6,71.8,High,0.896,fast_resolution,Resolved in 3.9h vs 25.8h typical for Electrical Issues
c43a9fe1-1d1f-415d-8c50-c5fb4f30df08,71.8,High,0.897,fast_resolution,Resolved in 2.0h vs 40.9h typical for Furniture
5dbc9be1-a8a1-487f-84b3-2100742c5039,71.1,High,0.884,fast_resolution,Resolved in 7.9h vs 51.8h typical for AC Issues
47edf057-a884-4cb6-ae6e-5fbb26bcef22,70.6,High,0.874,fast_resolution,Resolved in 3.9h vs 40.9h typical for Furniture
445453be-c171-4a6e-bda4-13f01b7ca1cd,70.3,High,0.869,fast_resolution,Resolved in 2.9h vs 31.0h typical for Washing machine Issue
7934badb-1059-4191-a4f4-a54e31d99bba,70.3,High,0.46,repeated_issue;cost_over_expected,Repeated issue at this location | Cost ₹1180.0 exceeds expected ₹300 (+₹880)
4f8b2dee-434d-4bea-8392-a77c7e9c5362,70.0,High,0.369,repeated_issue;process_edit_unlocked,Repeated issue at this location | Resolution was edit-unlocked after closure
fbb9b65c-9764-4f57-908b-cb419814fd61,69.3,High,0.761,repeated_issue;fast_resolution,Repeated issue at this location | Resolved in 7.5h vs 51.8h typical for AC Issues
912ad16c-a1c2-48c6-b445-1685778c106f,65.7,High,0.991,repeated_issue,Repeated issue at this location
5745ae7c-577e-45ee-8306-282882275a32,65.4,High,0.985,repeated_issue,Repeated issue at this location
87886ad5-efc3-47b9-8ef3-65cef3bd906a,65.3,High,0.983,repeated_issue,Repeated issue at this location
f136cc5b-30b5-4357-ad73-b4d6604fc7df,65.2,High,0.981,repeated_issue,Repeated issue at this location
c3120da0-ba49-4a90-872a-19d881add1e0,64.9,High,0.975,repeated_issue,Repeated issue at this location
488572a1-3596-4a89-9d85-69a2b47f3300,64.8,High,0.974,repeated_issue,Repeated issue at this location
7ae58cd2-f723-43f4-9507-209bed09b762,64.8,High,0.973,repeated_issue,Repeated issue at this location
fd2604e2-76a9-40ac-b9cb-34f60454de15,64.6,High,0.969,repeated_issue,Repeated issue at this location
b1787bae-d6e8-4586-8858-0cb87ce35efc,64.5,High,0.967,repeated_issue,Repeated issue at this location
9bd4d358-7776-4a11-a6f5-84023090ca9c,64.4,High,0.967,repeated_issue,Repeated issue at this location
1b950245-c697-47aa-a34d-c8c230097405,64.1,High,0.96,repeated_issue,Repeated issue at this location
c9127618-abb9-4756-bae1-5ac6e8ed51c6,64.1,High,0.96,repeated_issue,Repeated issue at this location
65de8cca-e13c-44ee-8b37-0a8f33e93223,64.0,High,0.959,repeated_issue,Repeated issue at this location
a2c8ff46-ac0a-424a-bcae-582dfd6db28e,63.7,High,0.953,repeated_issue,Repeated issue at this location
298b0b9f-9d4c-4ef2-a37f-7d9e7d35910d,63.7,High,0.953,repeated_issue,Repeated issue at this location
281b94ee-eecc-417c-8cf9-25b2cb80a2bc,63.6,High,0.88,fast_resolution,Resolved in 1.3h vs 51.8h typical for AC Issues
fd2babd5-9005-450a-ae03-3489776a5eae,63.4,High,0.947,repeated_issue,Repeated issue at this location
