asset_id,asset_id_source,asset_code,ticket_id,ticket_number,current_repair_date,current_resolution_hours,asset_historical_median,asset_history_sample_size,baseline_source,baseline_history_type,baseline_confidence,verified_history_size,raw_history_size,pct_of_baseline,faster_percentage,previous_repair_date,days_since_previous_repair,recent_repeat_count_90d,resolver,cost,tenant_approved,mapping_confidence,severity,severity_level,verification_status,repair_timeline,explanation
1fac099b-4e9f-4260-bfa2-9ecdd23b97fb,direct,VH-RO-D21-0001,25627ef2-0336-47f6-8a33-cf89a60ab7c7,VIST-26-06-00072,2026-06-18 07:29:25.842,0.9,43.53,22,asset_type,Provisional,Medium,0,4,0.021,97.9,2026-06-16 09:35:25.926,1.9,1,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,,Verified,102.9,Critical,Verification Required,"16 Jun 2026 -> 28.7 hours
18 Jun 2026 -> 3.6 hours
18 Jun 2026 -> 27.4 hours
20 Jun 2026 -> 56.8 hours
Current -> 54 minutes  [under review]","Resolved 97.9% faster than the RO Water Purifier/RO Water Issues baseline (43.5 hours, n=22; this asset lacks enough own history). Asset has been repaired 1 time in the last 90 days. Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
1fac099b-4e9f-4260-bfa2-9ecdd23b97fb,direct,VH-RO-D21-0001,51d838ab-d34d-458d-8ba4-a58d1c010c5f,VIST-26-06-00071,2026-06-18 07:31:17.930,3.57,43.53,22,asset_type,Provisional,Medium,0,4,0.082,91.8,2026-06-18 07:29:25.842,0.0,2,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,true,Verified,101.8,Critical,Verification Required,"16 Jun 2026 -> 28.7 hours
18 Jun 2026 -> 54 minutes
18 Jun 2026 -> 27.4 hours
20 Jun 2026 -> 56.8 hours
Current -> 3.6 hours  [under review]","Resolved 91.8% faster than the RO Water Purifier/RO Water Issues baseline (43.5 hours, n=22; this asset lacks enough own history). Asset has been repaired 2 times in the last 90 days. Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
1d23efda-47c5-4f25-a9a9-fb25f27f1555,direct,VH-AC-C43-0001,62ec3e07-d588-4248-a406-54abbe7097eb,VISH-2026-1100,2026-04-10 08:05:38.344,0.59,53.0,74,asset_type,Provisional,Medium,0,0,0.011,98.9,,,0,,,true,Verified,98.9,Critical,Verification Required,Current -> 35 minutes  [under review],"Resolved 98.9% faster than the Air Conditioner/AC Issues baseline (53.0 hours, n=74; this asset lacks enough own history). Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
14d27fc6-b43f-420e-9cc7-29bec3989775,direct,VH-FN-B13-0001,32a14c06-3cab-4503-98f6-4a02c22f776b,VIST-26-07-00067,2026-07-22 09:29:48.137,2.86,25.07,44,asset_type,Provisional,Medium,0,2,0.114,88.6,2026-07-02 08:35:08.977,20.0,2,bd081ad6-5fe3-4c1d-a919-81b1055efa19,1120.0,,Verified,98.6,Critical,Verification Required,"30 Jun 2026 -> 5.4 hours
02 Jul 2026 -> 35.6 hours
Current -> 2.9 hours  [under review]","Resolved 88.6% faster than the Fan/Electrical Issues baseline (25.1 hours, n=44; this asset lacks enough own history). Asset has been repaired 2 times in the last 90 days. Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
35ec240d-87ee-4bcc-b912-3116c4209142,mapped,VH-AC-A23-0001,b88e51a5-f3cb-4174-bcae-781487f61548,VIST-26-04-00041,2026-04-25 13:53:21.807,3.43,53.0,74,asset_type,Provisional,Medium,0,1,0.065,93.5,2026-04-07 06:02:57.101,18.3,1,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,true,High,98.5,Critical,Verification Required,"07 Apr 2026 -> 159.4 hours
Current -> 3.4 hours  [under review]","Resolved 93.5% faster than the Air Conditioner/AC Issues baseline (53.0 hours, n=74; this asset lacks enough own history). Asset has been repaired 1 time in the last 90 days. Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
30d9dbfc-a9d3-49fb-bc99-c78196773658,direct,VH-FN-C43-0002,ba000612-08eb-466e-a200-9116b2f0ab0f,VIST-26-06-00057,2026-06-15 08:37:00.142,0.46,25.07,44,asset_type,Provisional,Medium,0,0,0.018,98.2,,,0,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,,Verified,98.2,Critical,Verification Required,Current -> 28 minutes  [under review],"Resolved 98.2% faster than the Fan/Electrical Issues baseline (25.1 hours, n=44; this asset lacks enough own history). Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
980ff08f-01bb-4ec8-846e-87474b79285d,direct,VH-ST-C11-0001,72405ca5-e55a-4349-9fdd-ca700389fd6b,VISH-2026-1111,2026-04-18 12:29:51.892,1.05,45.26,40,issue_type,Provisional,Low,0,0,0.023,97.7,,,0,,,,Verified,97.7,High,Verification Required,Current -> 1.0 hours  [under review],"Resolved 97.7% faster than the Furniture baseline (45.3 hours, n=40; this asset lacks enough own history). Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
d6d1e730-b764-4dfc-aeda-759b7c2ab0a9,mapped,VH-AC-B12-0001,281b94ee-eecc-417c-8cf9-25b2cb80a2bc,VIST-26-05-00034,2026-05-06 12:08:17.748,1.34,53.0,74,asset_type,Provisional,Medium,0,0,0.025,97.5,,,0,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,true,High,97.5,Critical,Verification Required,Current -> 1.3 hours  [under review],"Resolved 97.5% faster than the Air Conditioner/AC Issues baseline (53.0 hours, n=74; this asset lacks enough own history). Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
258d48fb-9fcd-4500-8724-3d5f900e042a,direct,VH-CB-B11-0006,73999906-6bab-4a7b-bb02-ee5f45f086a2,VISH-2026-0009,2026-04-03 10:37:38.274,1.01,23.06,13,asset_type,Provisional,Medium,0,0,0.044,95.6,,,0,,,true,Verified,95.6,Critical,Verification Required,Current -> 1.0 hours  [under review],"Resolved 95.6% faster than the Cupboard/Furniture baseline (23.1 hours, n=13; this asset lacks enough own history). Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
bb3a7a45-bed6-408d-a8f5-6bd712253fb4,direct,VH-MA-B31-0004,c43a9fe1-1d1f-415d-8c50-c5fb4f30df08,VISH-2026-0005,2026-04-03 07:00:42.950,1.98,45.26,40,issue_type,Provisional,Low,0,0,0.044,95.6,,,0,,,true,Verified,95.6,High,Verification Required,Current -> 2.0 hours  [under review],"Resolved 95.6% faster than the Furniture baseline (45.3 hours, n=40; this asset lacks enough own history). Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
d6b0afc8-bfb7-42fb-8a6f-f026ee1a26e1,direct,VH-AC-B42-0002,698d27f3-fc36-4b88-97b9-bf260b25c5fb,VIST-26-07-00033,2026-07-13 11:36:38.482,3.25,53.0,74,asset_type,Provisional,Medium,0,1,0.061,93.9,2026-05-19 07:05:36.759,55.2,1,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,,Verified,93.9,Critical,Verification Required,"19 May 2026 -> 24.7 hours
Current -> 3.2 hours  [under review]","Resolved 93.9% faster than the Air Conditioner/AC Issues baseline (53.0 hours, n=74; this asset lacks enough own history). Asset has been repaired 1 time in the last 90 days. Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
e5a1f770-e368-43c8-a5f8-ea8b0a342ded,direct,VH-RO-C11-0001,e2f11fa3-0123-4cab-a9e4-46d077572c09,VIST-26-07-00007,2026-07-02 07:12:32.746,2.85,43.53,22,asset_type,Provisional,Medium,0,1,0.065,93.5,2026-04-10 04:22:56.140,83.1,1,f6623646-3abe-4faf-bff7-684ea1f04e96,2500.0,true,Verified,93.5,Critical,Verification Required,"10 Apr 2026 -> 62.3 hours
Current -> 2.8 hours  [under review]","Resolved 93.5% faster than the RO Water Purifier/RO Water Issues baseline (43.5 hours, n=22; this asset lacks enough own history). Asset has been repaired 1 time in the last 90 days. Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
9c958763-2d9c-46a4-8f4e-44f491ee63ef,direct,VH-BS-B42-0002,01e761fc-cf80-46dc-99fc-90cec18565a9,VIST-26-05-00127,2026-05-26 08:45:31.031,3.2,48.4,12,asset_type,Provisional,Medium,0,0,0.066,93.4,,,0,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,,Verified,93.4,Critical,Verification Required,Current -> 3.2 hours  [under review],"Resolved 93.4% faster than the Bedside Table/Furniture baseline (48.4 hours, n=12; this asset lacks enough own history). Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
572c3a43-35ae-48cc-941e-77484386f1bd,direct,VH-AC-C12-0004,6ee7e61a-b10e-4a6d-95c2-02b365bb774e,VIST-26-07-00053,2026-07-18 11:14:37.019,3.84,53.0,74,asset_type,Provisional,Medium,0,0,0.072,92.8,,,0,bd081ad6-5fe3-4c1d-a919-81b1055efa19,0.0,true,Verified,92.8,Critical,Verification Required,Current -> 3.8 hours  [under review],"Resolved 92.8% faster than the Air Conditioner/AC Issues baseline (53.0 hours, n=74; this asset lacks enough own history). Verification recommended. (Provisional baseline from unverified history — will refine as the manager verifies repairs.)"
